Band,Album,Genres,Score
Mental Cruelty,Zwielicht Review,"Black Metal, Blackened Death Metal, Death Metal, Deathcore, Melodic Black Metal, Melodic Death Metal, Slam, Symphonic Metal",3.5
Jag Panzer,The Hallowed Review,Heavy Metal,3.5
Pupil Slicer,Blossom Review,"Mathcore, Metalcore, Nu Metal, Punk",3.5
Johnny the Boy,You Review,"Progressive Metal, Sludge",3.5
Fifth Angel,When Angels Kill Review,Heavy Metal,3.5
The Bleeding,Monokrator Review,"Death Metal, Thrash Metal",3.5
Legion of the Damned,Poison Chalice Review,"Death Metal, Thrash Metal",3.5
Burial Hordes,Ruins Review,Blackened Death Metal,3.5
Ok Goodnight,The Fox and the Bird Review,"Progressive Metal, Progressive Rock",3.5
Hours of Worship,Death & Dying Vol. I Review,,3.5
Kostnatění,Úpal Review,Black Metal,3.5
Wytch Hazel,IV: Sacrament Review,Heavy Metal,3.5
Whythre,Impregnate My Hate Review,Melodic Death Metal,3.5
Blindfolded and Led to the Woods,Rejecting Obliteration Review,Technical Death Metal,3.5
Phlebotomized,Clouds of Confusion Review,"Death Metal, Melodic Death Metal, Progressive Metal, Symphonic Metal",3.5
Wings of Steel,Gates of Twilight Review,Heavy Metal,3.5
Maud the Moth + Trajedesaliva,Bordando el manto terrestre Review,,3.5
Vomitory,All Heads Are Gonna Roll Review,Death Metal,3.5
Inherus,Beholden Review,"Doom Metal, Hard Rock, Progressive Metal",3.5
Oceanlord,Kingdom Cold Review,"Doom Metal, Hard Rock, Stoner Rock",3.5
Yakuza,Sutra Review,"Doom Metal, Heavy Metal, Post-Metal, Psychedelic Rock, Sludge, Sludge Metal",3.5
Vomitheist,NekroFuneral,Death Metal,3.5
The Acacia Strain,Failure Will Follow Review,"Deathcore, Doom Metal, Hardcore, Sludge Metal",3.5
Mystic Prophecy,Hellriot Review,"Groove Metal, Heavy Metal, Power Metal",3.5
Death of Giants,Ventesorg Review,,3.5
Ascended Dead,Evenfall of the Apocalypse Review,Death Metal,3.5
Speedwhore,Visions of a Parallel World Review,"Black Metal, Thrash Metal",3.5
Atavistia,Cosmic Warfare Review,Black Metal,3.5
Intöxicated,Sadistic Nightmares Review,"Heavy Metal, Speed Metal",3.5
Finality,Technocracy Review,"Power Metal, Thrash Metal",3.5
Danava,Nothing But Nothing Review,Retro Metal,3.5
Bloodgutter,Death Mountain Review,"Death Doom, Death Metal",3.5
Margarita Witch Cult,Margarita Witch Cult Review,"NWOBHM, Stoner Metal",3.5
Neverus,Burdens of the Earth Review,Melodic Death Metal,3.5
Bell Witch,Future’s Shadow Part 1: The Clandestine Gate Review,"Doom Metal, Funeral Doom",3.5
Chrome Waves,Earth Will Shed its Skin Review,Post-Metal,3.5
Evermore,In Memoriam Review,Power Metal,3.5
Birdflesh,Sickness in the North Review,,3.5
Cam Girl,Untucked Review,"Hard Rock, Non-metal Metal Things, Punk",3.5
Rotpit,Let There Be Rot Review,Death Metal,3.5
Overkill,Scorched Review,"Heavy Metal, Thrash Metal",3.5
Children of the Reptile,Heavy Is the Head Review,"Heavy Metal, Thrash Metal",3.5
Olde Throne,In the Land of Ghosts Review,"Atmospheric Black Metal, Black Metal, Folk Metal",3.5
Lurk,Aegis Review,"Black Metal, Doom Metal, Sludge, Sludge Metal",3.5
Rotten Sound,Apocalypse Review,,3.5
Lamp of Murmuur,Saturnian Bloodstorm Review,"Black Metal, Viking Metal",3.5
The Turin Horse,Unsavory Impurities Review,"Hardcore, Noise, Noise Rock, Post-Hardcore, Psychedelic Rock, Sludge, Sludge Metal",3.5
Liturgy,93696 Review,Black Metal,3.5
Ne Obliviscaris,Exul Review,"Black Metal, Death Metal, Progressive Metal",3.5
Suotana,Ounas I Review,Melodic Black Metal,3.5
Excalion,Once Upon a Time Review,,3.5
¡Pendejo!,Volcán Review,Stoner Metal,3.5
Dirge,Dirge Review,"Doom Metal, Post-Metal, Sludge Metal",3.5
Foretoken,Triumphs Review,"Black Metal, Blackened Death Metal, Death Metal, Melodic Death Metal, Symphonic Metal, Technical Death Metal",3.5
Astriferous,Pulsations from the Black Orb Review,Death Metal,3.5
Enslaved,Heimdal Review,"Progressive Metal, Viking Metal",3.5
Entheos,Time Will Take Us All Review,"Death Metal, Deathcore, Progressive Metal, Technical Death Metal",3.5
Drowstorm,Jubokko Review,Black Metal,3.5
Majesties,Vast Reaches Unclaimed Review,"Death Metal, Melodic Death Metal",3.5
Transgressive,Extreme Transgression Review,Thrash Metal,3.5
Necropanther,Betrayal Review,Melodic Death Metal,3.5
They Grieve,To Which I Bore Witness Review,"Ambient Metal, Post-Metal",3.5
71TonMan,Of End Times Review,"Doom Metal, Funeral Doom, Sludge",3.5
At the Altar of the Horned God,Heart of Silence Review,Black Metal,3.5
Megaton Sword,Might & Power Review,Heavy Metal,3.5
Insomnium,Anno 1696 Review,"Doom Metal, Melodic Death Metal",3.5
Depravation,IV: Letvm Review,Black Metal,3.5
Man Must Die,The Pain Behind it All Review,"Death Metal, Technical Death Metal",3.5
Ulthar,Helionomicon Review,"Black Metal, Death Metal",3.5
Hellripper,Warlocks Grim & Withered Hags Review,"Black Metal, Speed Metal, Thrash Metal",3.5
Ashen Horde,Antimony Review,"Black Metal, Death Metal, Progressive Metal",3.5
Inherits the Void,The Impending Fall of the Stars Review,Melodic Black Metal,3.5
…and Oceans,"As in Gardens, So in Tombs Review",Melodic Black Metal,3.5
The Privateer,Kingdom of Exiles Review,"Folk Metal, Melodic Death Metal, Power Metal",3.5
Sammale,Sammale Review,"Atmospheric Black Metal, Black Metal, Folk Metal",3.5
Twilight Force,At the Heart of Wintervale Review,,3.5
Leiþa,Reue Review,"Black Metal, Melodic Black Metal",3.5
Lord Mountain,The Oath Review,"Doom Metal, Heavy Metal",3.5
The Gauntlet,Dark Steel and Fire Review,"Black Metal, Thrash Metal",3.5
Leper Colony,Leper Colony Review,"Death Metal, Thrash Metal",3.5
Defy the Curse,Horrors of Human Sacrifice Review,"Crust Punk, Death Metal",3.5
Phal: Angst,Whiteout Review,Post-Metal,3.5
Ahab,The Coral Tombs Review,Doom Metal,3.5
Dødsengel,Bab Al On Review,Black Metal,3.5
Veilburner,VLBRNR Review,"Black Metal, Blackened Death Metal, Death Metal, Progressive Metal",3.5
Detherous,Unrelenting Malevolence Review,"Death Metal, Thrash Metal",3.5
Nazghor,Seventh Secular Crusade Review,Black Metal,3.5
Vengeur,Par Feu et Par Flammes Review,,3.5
Dysgnostic,Scar Echoes Review,"Death Metal, Technical Death Metal",3.5
Threshold,Dividing Lines Review,Progressive Metal,3.5
Lamentations,Passion of Depression Review,Melodic Death Metal,3.5
Xentrix,Seven Words Review,Thrash Metal,3.5
Munroe’s Thunder,The Black Watch Review,Heavy Metal,3.5
Theotoxin,Fragment: Totenruhe Review,Black Metal,3.5
Doomocracy,Unorthodox Review,Doom Metal,3.5
Vitskär Süden,The Faceless King Review,"Doom Metal, Progressive Rock, Psychedelic Rock, Stoner Rock",3.5
Universally Estranged,Dimension of Deviant Clusters Review,Death Metal,3.5
Ols,Pustkowia Review,"Neofolk, Not Metal",3.5
Strychnos,A Mother’s Curse Review,"Blackened Death Metal, Death Metal, Heavy Metal",3.5
Obsidious,Iconic Review,"Death Metal, Melodic Death Metal, Progressive Metal, Technical Death Metal",3.5
Them,Fear City Review,Heavy Metal,3.5
A Wake in Providence,Eternity Review,Deathcore,3.5
Iron Allies,Blood In Blood Out Review,"Hard Rock, Heavy Metal",3.5
Forlesen,Black Terrain Review,"Drone, Post-Metal",3.5
Exhumed,To the Dead Review,Death Metal,3.5
Avatarium,"Death, Where Is Your Sting Review","Blues, Doom Metal, Hard Rock, Heavy Metal",3.5
Vacuous,Dreams of Dysphoria Review,,3.5
Lorna Shore,Pain Remains Review,"Deathcore, Melodic Death Metal, Symphonic Metal",3.5
Avantasia,A Paranormal Evening With the Moonflower Society Review,Heavy Metal,3.5
Behind your Fear,Anthropocene Review,"Dark Rock, Gothic Metal",3.5
Ripped to Shreds,劇變 (Jubian) Review,Death Metal,3.5
Riot City,Electric Elite Review,Heavy Metal,3.5
Faceless Burial,At the Foothills of Deliration Review,Death Metal,3.5
Teramaze,Flight of the Wounded Review,Progressive Metal,3.5
Putrescine/Kosmogyr,Desolate Tides [Split] Review,"Black Metal, Death Metal",3.5
Angmodnes,The Weight of Eternity Review,"Death Doom, Doom Metal, Funeral Doom",3.5
Amaurot,… To Tread the Ancient Waters Review,"Death Doom, Doom Metal",3.5
Queensrÿche,Digital Noise Alliance Review,"Heavy Metal, Progressive Metal",3.5
Goatwhore,Angels Hung from the Arches of Heaven Review,"Black Metal, Death Metal, Thrash Metal",3.5
Talas,1985 Review,Hard Rock,3.5
Graceless,Chants from Purgatory Review,Death Metal,3.5
Titan to Tachyons,Vonals Review,Instrumental Metal,3.5
Crone,Gotta Light? Review,"Dark Rock, Progressive Rock",3.5
Live Burial,Curse of the Forlorn Review,Death Metal,3.5
Gaerea,Mirage Review,Black Metal,3.5
Holy Fawn,Dimensional Bleed Review,"Ambient Metal, Doom Metal, Shoegaze",3.5
Algebra,Chiroptera Review,Thrash Metal,3.5
Vrenth,Succumb to Chaos Review,Death Metal,3.5
Greber,Fright Without Review,"Powerviolence, Sludge",3.5
Wayward Dawn,All-Consuming Void Review,Death Metal,3.5
Spiritus Mortis,The Great Seal Review,Doom Metal,3.5
Trauma,Awakening Review,Thrash Metal,3.5
Warforged,The Grove | Sundial Review,"Blackened Death Metal, Deathcore, Progressive Metal, Technical Death Metal",3.5
Blind Guardian,The God Machine Review,"Power Metal, Thrash Metal",3.5
Red Rot,Mal de Vivre Review,"Gothic Metal, Hardcore, Progressive Metal, Sludge Metal",3.5
Hexis,Aeternum Review,"Black Metal, Hardcore, Post-Metal, Sludge Metal",3.5
Auriferous Flame,The Great Mist Within Review,"Black Metal, Post-Metal",3.5
Consumption,Necrotic Lust Review,,3.5
Thoughtcrimes,Altered Pasts Review,"Alternative Metal, Mathcore, Metalcore",3.5
Splintered Throne,The Greater Good of Man Review,"Hard Rock, Heavy Metal, Power Metal",3.5
Träumen von Aurora,Luna and Aurora Review,"Black Metal, Post-Metal",3.5
Dreadnought,The Endless Review,"Black Metal, Post-Metal, Progressive Metal",3.5
Dawnwalker,House of Sand Review,Progressive Metal,3.5
Moths,Space Force Review,"Doom Metal, Progressive Metal, Stoner Rock",3.5
Hours of Worship,The Cold that You Left Review,Gothic Metal,3.5
Eruption,Tellurian Rupture Review,Thrash Metal,3.5
Tomb of Finland,Across the Barren Fields Review,"Death Metal, Doom Metal",3.5
Carrion Vael,Abhorrent Obsessions Review,"Melodic Death Metal, Technical Death Metal",3.5
Early Moods,Early Moods Review,Doom Metal,3.5
Raptore,Blackfire Review,"Heavy Metal, Speed Metal, Thrash Metal",3.5
Lathe,Tongue of Silver Review,"Doom Metal, Noise",3.5
Wailin Storms,The Silver Snake Unfolds Review,"Noise, Noise Rock, Post-Hardcore",3.5
Belphegor,The Devils Review,"Black Metal, Death Metal",3.5
Battlegrave,Cavernous Depths Review,"Black Metal, Death Metal, Hardcore, Thrash Metal",3.5
Graveshadow,The Uncertain Hour Review,"Power Metal, Symphonic Metal",3.5
Moonshade,As We Set the Skies Ablaze Review,"Death Metal, Melodic Death Metal",3.5
Imperial Triumphant,Spirit of Ecstasy Review,Death Metal,3.5
Panzerfaust,The Suns of Perdition – Chapter III: The Astral Drain Review,Black Metal,3.5
Antigama,Whiteout Review,"Death Metal, Grind, Thrash Metal",3.5
Oceans of Slumber,Starlight and Ash Review,Doom Metal,3.5
Cruentus,Fossilized Review,"Black Metal, Thrash Metal",3.5
Maul,Seraphic Punishment Review,Death Metal,3.5
Mantar,Pain is Forever and This is the End Review,Sludge,3.5
Negative 13,Mourning Asteri Review,"Doom Metal, Hardcore, Sludge Metal",3.5
Black Cilice,Esoteric Atavism Review,Black Metal,3.5
Vidres a la Sang,Fragments de l’esdevenir Review,"Black Metal, Death Metal",3.5
Am Himmel,As Eternal as the Starless Kingdom of Sorrow Review,Drone,3.5
Greg Puciato,Mirrorcell Review,Alt-Metal,3.5
Final Light,Final Light Review,"Post-Metal, Synthwave",3.5
Instigate,Unheeded Warnings of Decay Review,"Death Metal, Groove Metal, Technical Death Metal",3.5
Charlie Griffiths,Tiktaalika Review,Progressive Metal,3.5
Khold,Svartsyn Review,Black Metal,3.5
Saor,Origins Review,"Folk Metal, Melodic Black Metal",3.5
Axioma,Sepsis Review,"Post-Metal, Sludge",3.5
Ianai,Sunir Review,"Ambient, Dark Neofolk, Folk, Neofolk",3.5
Seven Kingdoms,Zenith Review,"Heavy Metal, Power Metal",3.5
DeathFuckingCunt,Decadent Perversity Review,Technical Death Metal,3.5
Magnatar,Crushed Review,"Post-Metal, Sludge Metal",3.5
Sijjeel,Salvation Within Insanity Review,Death Metal,3.5
Grave Infestation,Persecution of the Living Review,Death Metal,3.5
Artificial Brain,Artificial Brain Review,"Black Metal, Blackened Death Metal, Death Metal, Progressive Metal, Technical Death Metal",3.5
Heaving Earth,Darkness of God Review,Death Metal,3.5
IATT,Magnum Opus Review,,3.5
Mournful Congregation,The Exuviae of Gods – Part I Review,Funeral Doom,3.5
Come to Grief,When the World Dies Review,Sludge Metal,3.5
Assumption,Hadean Tides Review,"Death Metal, Doom Metal",3.5
Evergrey,A Heartless Portrait (The Orphean Testament) Review,"Gothic Metal, Progressive Metal",3.5
Master Boot Record,Personal Computer Review,"Electronic Metal, Synthwave",3.5
Misery Index,Complete Control Review,Death Metal,3.5
Katharos,Of Lineages Long Forgotten Review,Black Metal,3.5
Pure Reason Revolution,Above Cirrus Review,Progressive Rock,3.5
This Is Oblivion,This Is Oblivion Review,"Dark Neofolk, Doom Metal, Neofolk",3.5
Cosmic Putrefaction,Crepuscular Dirge for the Blessed Ones Review,Technical Death Metal,3.5
Wo Fat,The Singularity Review,"Doom Metal, Psychedelic Rock, Stoner Rock",3.5
Rise to the Sky,"Every Day, A Funeral Review","Death Metal, Doom Metal",3.5
Upon a Burning Body,Fury Review,"Deathcore, Groove Metal, Metalcore",3.5
Tómarúm,Ash in Realms of Stone Icons Review,"Atmospheric Black Metal, Black Metal, Melodic Black Metal, Progressive Metal, Technical Death Metal",3.5
Pyrithe,Monuments to Impermanence Review,"Experimental Metal, Noise Rock, Sludge Metal",3.5
Dischordia,Triptych Review,"Death Metal, Technical Death Metal",3.5
Spill Your Guts,The Wrath It Takes Review,"Hardcore, Post-Hardcore",3.5
The Lord,Forest Nocturne Review,"Ambient Metal, Death Metal, Doom Metal",3.5
Azaab,Summoning the Cataclysm Review,"Death Metal, Technical Death Metal",3.5
Miseration,Black Miracles and Dark Wonders Review,"Death Metal, Melodic Death Metal",3.5
Corpsessed,Succumb to Rot Review,Death Metal,3.5
Feral Light,Psychic Contortions Review,"Black Metal, Crust Punk, Post-Metal",3.5
Void Dancer,Prone Burial Review,"Melodic Death Metal, Metalcore, Technical Death Metal",3.5
Monuments,In Stasis Review,"Djent, Metalcore",3.5
Lux Incerta,Dark Odyssey Review,"Doom Metal, Progressive Metal",3.5
Concilivm,A Monument in Darkness Review,"Black Metal, Blackened Death Metal, Death Metal",3.5
Golgothan Remains,Adorned in Ruin Review,Death Metal,3.5
Vimur,Transcendental Violence Review,"Black Metal, Melodic Black Metal",3.5
Morrow,The Quiet Earth Review,Crust Punk,3.5
Wolf,Shadowlands Review,"Heavy Metal, Power Metal",3.5
Meshuggah,Immutable Review,"Djent, Progressive Metal",3.5
Nite,Voices of the Kronian Moon Review,"Black Metal, Heavy Metal",3.5
Nurser,Nurser Review,Grind,3.5
Desert Clouds,Planexit Review,Stoner Metal,3.5
Falls of Rauros,Key to a Vanishing Future Review,"Black Metal, Melodic Black Metal",3.5
Ghost,IMPERA Review,Occult Rock,3.5
Eric Wagner,In the Lonely Light of Mourning Review,Doom Metal,3.5
Cryptworm,Spewing Mephitic Putridity Review,Death Metal,3.5
Sidus Atrum,The Spiral of Life Review,"Death Metal, Doom Metal, Post-Metal",3.5
Messa,Close Review,"Doom Jazz, Doom Metal, Progressive Metal",3.5
Véhémence,Ordalies Review,"Black Metal, Folk Metal",3.5
Abraham,Débris de mondes perdus Review,"Doom Metal, Post-Hardcore, Post-Metal, Sludge Metal",3.5
Crowbar,Zero and Below Review,"Doom Metal, Sludge",3.5
Mountaineer,Giving Up the Ghost Review,"Doom Metal, Post-Metal, Shoegaze",3.5
Non Est Deus,Impious Review,Black Metal,3.5
Venator,Echoes From the Gutter Review,"Heavy Metal, NWOBHM",3.5
Ezkaton,To Those Who Fell Review,Black Metal,3.5
Shape of Despair,Return to the Void Review,"Death Metal, Funeral Doom",3.5
Tersivel,To the Orphic Void Review,"Death Metal, Progressive Metal, Symphonic Metal",3.5
Schizophrenia,Recollections of the Insane Review,"Death Metal, Thrash Metal",3.5
Bloodywood,Rakshak Review,"Deathcore, Folk Metal, Groove Metal, Melodic Metal, Nu Metal",3.5
An Isolated Mind,A Place We Cannot Go Review and Album Premiere,"Not Metal, Progressive Rock",3.5
Venom Prison,Erebos Review,"Death Metal, Hardcore, Melodic Death Metal",3.5
Author & Punisher,Krüller Review,"Doom Metal, Drone, Industrial Metal",3.5
Sarcasm,Stellar Stream Obscured Review,"Black Metal, Melodic Death Metal",3.5
Mass Worship,Portal Tombs Review,"Black Metal, Death Metal, Grind, Sludge Metal",3.5
Saxon,Carpe Diem Review,"Heavy Metal, NWOBHM",3.5
Maule,Maule Review,"Heavy Metal, NWOBHM",3.5
Krallice,Crystalline Exhaustion Review,Black Metal,3.5
Dawn of Solace,Flames of Perdition Review,"Doom Metal, Gothic Metal",3.5
Celeste,Assassine(s) Review,"Black Metal, Doom Metal, Hardcore, Post-Hardcore, Post-Metal, Sludge Metal",3.5
Burned in Effigy,Rex Mortem Review,"Death Metal, Melodic Death Metal",3.5
Lastera,From the Ashes Review,"Power Metal, Symphonic Metal",3.5
Toundra,Hex Review,Post-Metal,3.5
Mizmor,Wit’s End Review,"Black Metal, Doom Metal, Drone",3.5
Necrophagous,In Chaos Ascend Review,Death Metal,3.5
Wombbath,Agma Review,Death Metal,3.5
Imperialist,Zenith Review,Black Metal,3.5
Lhaäd,Below Review,Atmospheric Black Metal,3.5
Dessiderium,Aria Review,"Blackened Death Metal, Technical Death Metal",3.5
Redemptor,Agonia Review,"Death Metal, Technical Death Metal",3.5
Malady,Ainavihantaa Review,Progressive Rock,3.5
Heiress,Distant Fires Review,"Post-Hardcore, Sludge",3.5
Hunters Moon,The Great Pandemonium Review,Black Metal,3.5
Negură Bunget,Zău Review,"Black Metal, Folk Metal, Progressive Metal",3.5
Eternity’s End,Embers of War Review,"Heavy Metal, Power Metal, Speed Metal",3.5
1000 Bone Cylinder Explosion,Bind Review,"Black Metal, Power Metal, Progressive Metal, Thrash Metal",3.5
Vertebra Atlantis,Lustral Purge in Cerulean Bliss,"Atmospheric Black Metal, Black Metal, Death Metal",3.5
Aephanemer,A Dream of Wilderness Review,Melodic Death Metal,3.5
Daxma,Unmarked Boxes Review,"Ambient Metal, Post-Metal",3.5
Apostle of Solitude,When the Darkness Goes Review,Doom Metal,3.5
W.E.B.,Colosseum Review,"Black Metal, Blackened Death Metal, Death Metal, Symphonic Metal",3.5
Emma Ruth Rundle,Engine of Hell Review,"Ambient, Non-metal Metal Things",3.5
Waking the Cadaver,Authority Through Intimidation Review,"Death Metal, Hardcore, Slam",3.5
Massacre,Resurgence Review,Death Metal,3.5
Kolossus,K Review,Black Metal,3.5
Conjureth,Majestic Dissolve Review,Death Metal,3.5
Osukaru,Starbound Review,"Glam Metal, Hard Rock",3.5
Feral Season,Rotting Body in the Range of Light Review,Black Metal,3.5
Trivium,In the Court of the Dragon Review,"Heavy Metal, Metalcore",3.5
Teramaze,And the Beauty They Perceive Review,Progressive Metal,3.5
NecroticGoreBeast,Human Deviance Galore Review,"Death Metal, Slam",3.5
The Answer Lies in the Black Void,Forlorn Review,Doom Metal,3.5
Unto Others,Strength Review,,3.5
Driving Slow Motion,Adrift:Abyss Review,"Drone, Post-Metal",3.5
Skepticism,Companion Review,,3.5
Fustilarian,All This Promiscuous Decadence Review,Black Metal,3.5
Without God,Siberian Tunes: Purple Clouds Review,"Doom Metal, Sludge Metal, Stoner Metal",3.5
Carcass,Torn Arteries Review,Death Metal,3.5
Blazon Stone,Damnation Review,Heavy Metal,3.5
Dawn Fades,Ode Review,"Post-Metal, Shoegaze",3.5
Black Mass,Feast at the Forbidden Tree Review,"Speed Metal, Thrash Metal",3.5
Pa Vesh En,Maniac Manifest Review,"Black Metal, Doom Metal",3.5
Doctor Smoke,Dreamers and the Dead Review,"Hard Rock, Occult Rock, Stoner Rock",3.5
Rise to the Sky,Per Aspera Ad Astra Review,,3.5
Antediluvian,The Divine Punishment Review,"Black Metal, Death Metal",3.5
Sermon of Flames,"I Have Seen the Light, and It Was Repulsive Review","Black Metal, Death Metal, Electronic Metal, Industrial Metal, Noise",3.5
Portrait,At One with None Review,Heavy Metal,3.5
Oxygen Destroyer,Sinister Monstrosities Spawned by the Unfathomable Ignorance of Humankind Review,"Death Metal, Thrash Metal",3.5
Hooded Menace,The Tritonus Bell Review,"Death Metal, Doom Metal",3.5
Sun of the Suns,TIIT Review,"Death Metal, Progressive Metal",3.5
Our Place of Worship Is Silence,"Disavowed, and Left Hopeless Review","Black Metal, Hardcore, Sludge",3.5
Arcane Existence,Colossus Review,"Black Metal, Death Metal, Symphonic Metal",3.5
Witchcryer,When Their Gods Come for You Review,"Doom Metal, Occult Rock",3.5
Bonehunter,Dark Blood Reincarnation System Review,,3.5
Wolves in the Throne Room,Primordial Arcana Review,Black Metal,3.5
Vaelmyst,Secrypts of the Egochasm Review,Heavy Metal,3.5
Ænigmatum,Deconsecrate Review,"Blackened Death Metal, Death Metal",3.5
Unreqvited,Beautiful Ghosts Review,Ambient Metal,3.5
King Woman,Celestial Blues Review,"Doom Metal, Post-Metal, Sludge",3.5
Eastern High,Halo Review,"Gothic Metal, Metalcore, Progressive Metal",3.5
Praise the Plague,The Obsidian Gate Review,"Black Metal, Doom Metal, Sludge",3.5
Mama Doom,Ash Bone Skin N Stone Review,"Doom Metal, Heavy Metal, Occult Rock",3.5
Vouna,Atropos Review,"Atmospheric Black Metal, Black Metal, Doom Metal, Dungeon Synth",3.5
Lower Automation,Lower Automation Review,"Hardcore, Mathcore, Noise, Noise Rock, Punk",3.5
Vandor,On a Moonlit Night Review,Power Metal,3.5
Crescent,Carving the Fires of Akhet Review,"Black Metal, Death Metal",3.5
Qrixkuor,Poison Palinopsia,Death Metal,3.5
Burning Darkness,Dödens Makt Review,"Death Metal, Heavy Metal, Melodic Black Metal",3.5
Bizarrekult,Vi Overlevde Review,Black Metal,3.5
Hellish Form,Remains Review,"Doom Metal, Drone, Funeral Doom, Noise, Sludge",3.5
Stress Angel,Bursting Church Review,Death Metal,3.5
Drawn and Quartered,Congregation Pestilence Review,Death Metal,3.5
Suidakra,Wolfbite Review,"Folk Metal, Melodic Death Metal",3.5
The Absence,Coffinized Review,"Melodic Death Metal, Thrash Metal",3.5
Pharaoh,The Powers That Be Review,Heavy Metal,3.5
Helloween,Helloween Review,Power Metal,3.5
Starlight Ritual,Sealed in Starlight Review,Heavy Metal,3.5
Inhuman Condition,Rat°God Review,Death Metal,3.5
Black Moon Mother,Illusions Under the Sun Review,"Doom Metal, Shoegaze",3.5
Hannes Grossmann,To Where the Light Retreats Review,"Death Metal, Progressive Metal, Technical Death Metal",3.5
Portal,Hagbulbia Review,"Death Metal, Noise",3.5
Perturbator,Lustful Sacraments Review,Synthwave,3.5
Svneatr,Chinook Review,Black Metal,3.5
Cross Vault,As Strangers We Depart Review,Doom Metal,3.5
Bloodbound,Creatures of the Dark Realm Review,Power Metal,3.5
Acausal Intrusion,Nulitas Review,"Ambient Metal, Death Metal, Technical Death Metal",3.5
Disparaître,Urchig Review,,3.5
Inferno,Paradeigma (Phosphenes of Aphotic Eternity) Review,Black Metal,3.5
Domkraft,Seeds Review,"Doom Metal, Sludge Metal",3.5
The Plague,Within Death Review,"Death Metal, Hardcore",3.5
Hanternoz,Au Fleuve de Loire Review,Black Metal,3.5
Artillery,X Review,Thrash Metal,3.5
Stone Healer,Conquistador Review,"Black Metal, Progressive Metal, Stoner Metal",3.5
Fyrnask,VII-Kenoma Review,"Atmospheric Black Metal, Black Metal",3.5
Bloody Hell,The Bloodening Review,Heavy Metal,3.5
Helslave,From the Sulphur Depths Review,Death Metal,3.5
Ophiuchi,Shibboleth Review,"Black Metal, Doom Metal",3.5
Oryx,Lamenting a Dead World Review,"Doom Metal, Sludge",3.5
Desolate Realm,Desolate Realm Review,Doom Metal,3.5
Crypts of Despair,All Light Swallowed Review,"Black Metal, Blackened Death Metal, Death Metal",3.5
Bewitcher,Cursed Be Thy Kingdom Review,"Black Metal, Hard Rock, Heavy Metal, Speed Metal",3.5
Liquid Tension Experiment,LTE3 Review,"Instrumental Metal, Progressive Metal",3.5
Devil Sold His Soul,Loss Review,"Ambient Metal, Emo, Metalcore, Post-Hardcore, Post-Metal",3.5
Zao,The Crimson Corridor Review,"Metalcore, Post-Metal, Sludge",3.5
Wheel,Preserved in Time Review,Doom Metal,3.5
Los Disidentes Del Sucio Motel,Polaris Review,"Alternative Metal, Post-Metal, Progressive Metal, Progressive Rock, Stoner Rock",3.5
Avaland,Theater of Sorcery Review,"Power Metal, Symphonic Metal",3.5
Wheel,Resident Human Review,Progressive Metal,3.5
Unflesh,Inhumation Review,"Blackened Death Metal, Melodic Death Metal, Technical Death Metal",3.5
Decline of the I,Johannes Review,Black Metal,3.5
Witchseeker,Scene of the Wild Review,"Heavy Metal, Speed Metal",3.5
Celestial Sanctuary,Soul Diminished Review,Death Metal,3.5
Thermohaline,Maelström Review,"Black Metal, Death Metal, Folk Metal, Industrial Metal",3.5
Cambion,Conflagrate the Celestial Refugium Review,Death Metal,3.5
Thunder Horse,Chosen One Review,Doom Metal,3.5
Demiser,Through the Gate Eternal Review,"Black Metal, Thrash Metal",3.5
Eyehategod,A History of Nomadic Behavior Review,Sludge Metal,3.5
Orden Ogan,Final Days Review,Power Metal,3.5
Malist,Karst Relict Review,Atmospheric Black Metal,3.5
Summoning the Lich,United in Chaos Review,"Deathcore, Melodic Death Metal",3.5
Malice Divine,Malice Divine Review,"Black Metal, Blackened Death Metal, Death Metal, Melodic Death Metal",3.5
Thron,Pilgrim Review,Black Metal,3.5
Epica,Omega Review,"Power Metal, Progressive Metal, Symphonic Metal",3.5
The Generals,To Hell Review,"Death Metal, Hard Rock, Melodic Death Metal, Thrash Metal",3.5
Magoth,Invictus Review,Black Metal,3.5
Mastord,To Whom Bow Even the Trees Review,Progressive Metal,3.5
Ephemerald,Between the Glimpses of Hope Review,Melodic Death Metal,3.5
Gravesend,Methods of Human Disposal Review,,3.5
Coronary,Sinbad Review,Heavy Metal,3.5
Lake of Tears,Ominous Review,"Doom Metal, Gothic Metal, Progressive Metal",3.5
Alkerdeel,Slonk Review,,3.5
Narakah,Blast Haven Review,Grind,3.5
Everdawn,Cleopatra Review,Symphonic Metal,3.5
Crystal Viper,The Cult Review,Heavy Metal,3.5
Kjeld,Ôfstân Review,Black Metal,3.5
Omination,NGR (New Golgotha Repvbliq) Review,Funeral Doom,3.5
Harakiri for the Sky,Mære Review,"Black Metal, Melodic Black Metal, Post-Metal",3.5
Evil,Possessed by Evil Review,"Black Metal, Speed Metal",3.5
Mourners,Act I: Tragedies Review,Funeral Doom,3.5
Soen,Imperial CD Review,Progressive Metal,3.5
Yoth Iria,As The Flame Withers Review,Melodic Black Metal,3.5
Grima,Rotten Garden Review,Black Metal,3.5
Altered Dead,Returned to Life Review,"Death Doom, Death Metal",3.5
Ellende,Triebe Review,Black Metal,3.5
